Name,Type,Indexed by Phase
pressure,Variable,No
flow_mass,Variable,No
flow_mol,Variable,No
temperature,Variable,No
vapor_frac,Variable,No
enth_mass,Variable,No
enth_mol,Variable,No
entr_mass,Variable,No
entr_mol,Variable,No
energy_internal_mass,Variable,No
energy_internal_mol,Variable,No
flow_mass,Expression,No
flow_mol,Expression,No
temperature,Expression,No
vapor_frac,Expression,No
enth_mass,Expression,No
enth_mol,Expression,No
entr_mass,Expression,No
entr_mol,Expression,No
energy_internal_mass,Expression,No
energy_internal_mol,Expression,No
mw,Expression,No
mole_frac_comp,Expression,No
mole_frac_phase_comp,Expression,Yes
temperature_crit,Expression,No
temperature_star,Expression,No
pressure_crit,Expression,No
dens_mass_crit,Expression,No
dens_mass_star,Expression,No
dens_mol_crit,Expression,No
dens_mol_star,Expression,No
temperature_sat,Expression,No
pressure_sat,Expression,No
enth_mass_sat_phase,Expression,Yes
enth_mol_sat_phase,Expression,Yes
entr_mass_sat_phase,Expression,Yes
entr_mol_sat_phase,Expression,Yes
energy_internal_mass_sat_phase,Expression,Yes
energy_internal_mol_sat_phase,Expression,Yes
volume_mass_sat_phase,Expression,Yes
volume_mol_sat_phase,Expression,Yes
dh_vap_mass,Expression,No
dh_vap_mol,Expression,No
ds_vap_mass,Expression,No
ds_vap_mol,Expression,No
du_vap_mass,Expression,No
du_vap_mol,Expression,No
phase_frac,Expression,Yes
enthalpy_mass_phase,Expression,Yes
enthalpy_mol_phase,Expression,Yes
entropy_mass_phase,Expression,Yes
entropy_mol_phase,Expression,Yes
energy_internal_mass_phase,Expression,Yes
energy_internal_mol_phase,Expression,Yes
cp_mass_phase,Expression,Yes
cp_mol_phase,Expression,Yes
cv_mass_phase,Expression,Yes
cv_mol_phase,Expression,Yes
speed_sound_phase,Expression,Yes
vol_mass_phase,Expression,Yes
vol_mol_phase,Expression,Yes
dens_mass_phase,Expression,Yes
dens_mol_phase,Expression,Yes
flow_mass_comp,Expression,No
flow_mol_comp,Expression,No
cp_mass,Expression,No
cp_mol,Expression,No
cv_mass,Expression,No
cv_mol,Expression,No
dens_mass,Expression,No
dens_mol,Expression,No
flow_vol,Expression,No
heat_capacity_ratio,Expression,No
visc_d_phase,Expression,Yes
visc_k_phase,Expression,Yes
therm_cond_phase,Expression,Yes
surface_tension,Expression,No
P_under_sat,Expression,No
P_over_sat,Expression,No